-inf -inf inf -8 -nan -nan 0
-4 -2 2 -8 -32 -8 1
-3 -1.5 1.5 -8 -48 -12 2
-2.66667 -1.33333 1.33333 -8 -64 -16 3
-2.5 -1.25 1.25 -8 -80 -20 4
-2.4 -1.2 1.2 -8 -96 -24 5
-2.33333 -1.16667 1.16667 -8 -112 -28 6
-2.28571 -1.14286 1.14286 -8 -128 -32 7
-2.25 -1.125 1.125 -8 -144 -36 8
-2.22222 -1.11111 1.11111 -8 -160 -40 9
-2.2 -1.1 1.1 -8 -176 -44 10
-2.18182 -1.09091 1.09091 -8 -192 -48 11
-2.16667 -1.08333 1.08333 -8 -208 -52 12
-2.15385 -1.07692 1.07692 -8 -224 -56 13
-2.14286 -1.07143 1.07143 -8 -240 -60 14
-2.13333 -1.06667 1.06667 -8 -256 -64 15
-2.125 -1.0625 1.0625 -8 -272 -68 16
-2.11765 -1.05882 1.05882 -8 -288 -72 17
-2.11111 -1.05556 1.05556 -8 -304 -76 18
-2.10526 -1.05263 1.05263 -8 -320 -80 19
