  T     <E>     Cv        <|M|>       X
2  -0.743236  0.239794  -0.0302124  0.78408
2.01  -0.993679  0.258655  -0.0536505  0.611464
2.02  -1.159  0.241861  -0.0195102  0.518226
2.03  -1.23446  0.239018  -0.00598888  0.460742
2.04  -1.26192  0.243245  -0.0349882  0.399927
2.05  -1.33468  0.235584  -0.000521  0.323226
2.06  -1.3568  0.23434  0.016182  0.379193
2.07  -1.40988  0.231184  0.00906937  0.254905
2.08  -1.38948  0.252645  -0.00443013  0.311577
2.09  -1.40269  0.237671  -0.043594  0.339319
2.1  -1.39477  0.245787  0.008758  0.275977
2.11  -1.41457  0.231279  0.0122869  0.28322
2.12  -1.42684  0.230839  0.00285875  0.28253
2.13  -1.42168  0.230065  0.0123055  0.295277
2.14  -1.41292  0.243228  0.0214169  0.308416
2.15  -1.48113  0.231066  0.0305324  0.221933
2.16  -1.4848  0.226528  0.0207026  0.226377
2.17  -1.5049  0.218495  -0.000737  0.268477
2.18  -1.48895  0.218263  0.00655737  0.230317
2.19  -1.47623  0.20658  0.00346138  0.277993
2.2  -1.47701  0.217595  0.005207  0.25131
2.21  -1.47961  0.216373  -0.000730125  0.275451
2.22  -1.43051  0.2086  0.0159541  0.249554
2.23  -1.45331  0.206229  -0.0227091  0.254662
2.24  -1.49626  0.202242  -0.0104282  0.209372
2.25  -1.4806  0.197365  0.0170224  0.222601
2.26  -1.51622  0.217795  0.0121375  0.21229
2.27  -1.53632  0.203057  0.0306594  0.197227
2.28  -1.51542  0.202503  -0.00551987  0.190947
2.29  -1.49768  0.189117  -0.00364113  0.217343
2.3  -1.4997  0.196679  0.0253958  0.217253

2  -0.810975  0.270705  0.0110291  0.731133
2.01  -1.01658  0.254406  0.0363404  0.6156
2.02  -1.17454  0.256764  0.0127382  0.482245
2.03  -1.20036  0.251204  0.0169877  0.425816
2.04  -1.25571  0.242453  0.00578456  0.408846
2.05  -1.27589  0.247719  -0.0420421  0.381752
2.06  -1.31406  0.239651  0.0214469  0.349051
2.07  -1.35565  0.241144  0.00781033  0.348285
2.08  -1.38494  0.234706  -0.0193683  0.296573
2.09  -1.38978  0.240145  -0.0117742  0.298324
2.1  -1.40564  0.224301  0.00656511  0.279535
2.11  -1.40766  0.230039  0.00783533  0.269173
2.12  -1.46692  0.231057  -0.0156586  0.238035
2.13  -1.47551  0.230165  -0.0139074  0.227263
2.14  -1.48024  0.23034  -0.0159481  0.222759
2.15  -1.47149  0.226456  0.00101817  0.273684
2.16  -1.47836  0.222406  -0.00493144  0.219272
2.17  -1.47857  0.230603  0.00570328  0.222389
2.18  -1.49941  0.226948  0.000682556  0.210611
2.19  -1.51429  0.220263  0.0249054  0.229577
2.2  -1.51438  0.210386  0.00201439  0.226212
2.21  -1.54015  0.214089  -0.0108492  0.214868
2.22  -1.53463  0.202757  0.00931472  0.193504
2.23  -1.55093  0.207321  0.00434256  0.199039
2.24  -1.55515  0.207196  -0.0185475  0.208724
2.25  -1.52322  0.212549  0.000286944  0.198683
2.26  -1.51483  0.205155  -0.0109889  0.184804
2.27  -1.51889  0.206437  0.00787711  0.213242
2.28  -1.53933  0.203481  0.00773039  0.199862
2.29  -1.55117  0.206759  -0.0140636  0.199616
2.3  -1.53391  0.212152  -0.000732222  0.198782

2  -0.797343  0.256697  0.0251808  0.694765
2.01  -1.02723  0.244699  0.0118348  0.557594
2.02  -1.10773  0.244159  0.0331971  0.507132
2.03  -1.19991  0.245731  0.0149451  0.452563
2.04  -1.26086  0.248644  -0.00904063  0.41765
2.05  -1.28271  0.237073  0.0100767  0.367158
2.06  -1.32104  0.239968  0.011176  0.311952
2.07  -1.35782  0.24807  0.00646169  0.358312
2.08  -1.38742  0.240045  -0.00862041  0.332668
2.09  -1.37641  0.235166  0.003481  0.354815
2.1  -1.38321  0.234604  0.0116781  0.308761
2.11  -1.3876  0.233444  0.00440453  0.275813
2.12  -1.40573  0.226037  -0.00505241  0.299812
2.13  -1.42205  0.224508  0.00242016  0.294289
2.14  -1.42631  0.231464  0.000615031  0.278886
2.15  -1.4362  0.228704  0.00203056  0.271808
2.16  -1.4399  0.21861  0.00654587  0.261393
2.17  -1.45566  0.225932  0.00182234  0.243909
